exp,input_type,device,hidden_size,batch_size,learning_rate,gamma,memory_threshold_to_start_train,target_update_interval,buffer_max_size,max_episode
0,linear,cpu,128,32,0.0005,0.98,3200,20,50000,10000
1,linear,cpu,128,32,0.0005,0.9,3200,20,50000,10000
2,linear,cpu,128,32,0.0005,0.1,3200,20,50000,10000
3,linear,cpu,128,32,0.0005,0.98,3200,5,50000,10000
4,linear,cpu,128,32,0.0005,0.9,3200,5,50000,10000
5,linear,cpu,128,32,0.0005,0.1,3200,5,50000,10000
6,linear,cpu,128,32,0.0005,0.98,320,20,50000,10000
7,linear,cpu,128,32,0.0005,0.9,320,20,50000,10000
8,linear,cpu,128,32,0.0005,0.1,320,20,50000,10000
9,linear,cpu,128,32,0.0005,0.98,320,5,50000,10000
10,linear,cpu,128,32,0.0005,0.9,320,5,50000,10000
11,linear,cpu,128,32,0.0005,0.1,320,5,50000,10000
12,conv,cuda:0,128,32,0.0005,0.98,3200,20,50000,3000
13,conv,cuda:0,128,32,0.0005,0.98,3200,5,50000,3000
14,conv,cuda:0,256,32,0.0005,0.98,3200,20,50000,3000
15,conv,cuda:0,256,32,0.0005,0.98,3200,5,50000,3000
16,conv,cuda:0,128,128,0.0005,0.98,3200,20,50000,3000
17,conv,cuda:0,128,128,0.0005,0.98,3200,5,50000,3000
18,conv,cuda:0,256,128,0.0005,0.98,3200,20,50000,3000
19,conv,cuda:0,256,128,0.0005,0.98,3200,5,50000,3000
